net,length_um
cam_mod_01.camera_init_01.sender.data_temp\[28\],7.175
_0048_,7.165
_0345_,7.16
_0250_,7.12
_0102_,7.105
_0206_,7.1
_0395_,7.1
_0347_,7.08
_0399_,7.08
_0610_,7.08
cam_mod_01.camera_init_01.sender.data_temp\[21\],7.055
_0367_,7
net40,6.89
_0711_,6.86
_0452_,6.72
_0193_,6.64
_0462_,6.64
cam_mod_01.camera_init_01.sender.data_temp\[11\],6.605
_0291_,6.6
_0304_,6.6
_0362_,6.6
_0676_,6.58
_0121_,6.46
_0414_,6.44
_0719_,6.42
_0201_,6.4
_0191_,6.38
_0380_,6.38
_0599_,6.32
_0392_,6.26
_0455_,6.26
_0457_,6.26
_0053_,6.245
_0025_,6.225
vga_yvalid,6.21
_0122_,6.2
_0656_,6.18
_0823_,6.18
_0284_,6.14
_0348_,6.14
_0370_,6.14
_0410_,6.14
_0125_,6.04
_0437_,6.04
_0056_,6.025
_0894_,5.96
_0417_,5.92
_0335_,5.9
_0761_,5.9
_0310_,5.86
_0050_,5.765
_0100_,5.765
_0083_,5.725
_0302_,5.72
_0828_,5.72
_0854_,5.72
_0093_,5.705
_0311_,5.68
_0405_,5.58
_0461_,5.58
_0772_,5.58
net32,5.53
_0078_,5.505
_0551_,5.48
_0758_,5.48
_0875_,5.46
_0116_,5.38
_0366_,5.34
_0416_,5.34
_0456_,5.34
_0766_,5.34
net38,5.29
_0429_,5.26
_0090_,5.245
_0095_,5.245
_0141_,5.22
_0301_,5.22
_0329_,5.22
_0423_,5.22
_0433_,5.22
_0063_,5.18
_0321_,5.16
_0115_,5.12
_0274_,5.12
_0031_,5.045
_0149_,5.04
_0131_,5.02
_0724_,5.02
_0730_,5.02
_0210_,5
_0177_,4.94
_0411_,4.9
_0185_,4.88
_0265_,4.88
_0355_,4.88
net33,4.85
net35,4.85
_0072_,4.845
_0073_,4.845
_0135_,4.82
_0422_,4.82
_0598_,4.82
_0181_,4.8
_0290_,4.8
_0398_,4.8
_0427_,4.8
_0432_,4.8
_0677_,4.8
_0856_,4.8
net11,4.8
_0137_,4.76
_0292_,4.76
_0298_,4.76
cam_mod_01.camera_init_01.sender.sio_d_send,4.76
_0349_,4.7
_0739_,4.66
_0740_,4.66
_0319_,4.58
_0400_,4.58
_0407_,4.58
_0282_,4.54
_0768_,4.535
_0279_,4.48
_0285_,4.48
_0725_,4.48
_0742_,4.46
_0089_,4.445
_0511_,4.44
_0778_,4.44
cam_mod_01.camera_init_01.init.count\[3\],4.44
_0136_,4.42
_0403_,4.42
_0018_,4.385
_0062_,4.38
_0082_,4.38
_0320_,4.34
_0420_,4.34
_0746_,4.34
_0802_,4.34
_0288_,4.24
_0391_,4.14
_0459_,4.14
_0851_,4.14
_0165_,4.1
_0127_,4.02
_0139_,4.02
_0204_,4.02
_0393_,4
net41,3.93
xvclk_o,3.93
_0728_,3.9
_0296_,3.88
_0374_,3.88
_0468_,3.88
_0003_,3.865
_0007_,3.855
_0076_,3.805
_0057_,3.8
_0058_,3.8
_0022_,3.78
_0042_,3.78
_0060_,3.78
_0075_,3.78
_0096_,3.78
_0328_,3.68
_0173_,3.64
_0280_,3.64
_0419_,3.64
_0092_,3.635
_0174_,3.595
_0436_,3.57
_0885_,3.56
_0307_,3.54
_0352_,3.54
_0387_,3.52
_0787_,3.52
_0021_,3.515
_0000_,3.465
_0065_,3.465
_0108_,3.44
_0672_,3.44
_0779_,3.44
_0249_,3.42
_0252_,3.42
_0266_,3.42
_0276_,3.42
_0316_,3.42
_0385_,3.42
_0389_,3.42
_0415_,3.42
_0454_,3.42
_0570_,3.42
_0014_,3.405
_0017_,3.34
_0044_,3.32
_0074_,3.32
_0079_,3.225
_0709_,3.22
_0519_,3.2
_0716_,3.2
_0340_,3.19
_0040_,3.175
_0041_,3.175
_0209_,3.145
_0781_,3.11
_0064_,3.1
_0344_,3.1
_0444_,3.1
_0660_,3.1
_0760_,3.1
_0323_,3.08
_0738_,3.08
_0412_,3.06
_0013_,3.005
_0026_,3.005
_0039_,3.005
_0045_,3.005
_0267_,2.98
_0295_,2.98
_0341_,2.98
_0361_,2.98
_0322_,2.96
_0326_,2.96
_0024_,2.955
_0008_,2.945
_0009_,2.945
_0033_,2.945
_0049_,2.945
_0046_,2.895
_0016_,2.885
_0032_,2.86
_0097_,2.86
_0103_,2.86
_0363_,2.86
_0832_,2.86
_0019_,2.785
_0029_,2.785
_0055_,2.785
_0071_,2.765
_0590_,2.76
_0632_,2.76
_0597_,2.74
_0777_,2.74
_0825_,2.74
_0162_,2.72
_0023_,2.715
_0070_,2.715
_0251_,2.62
_0500_,2.62
_0520_,2.62
_0652_,2.62
_0790_,2.62
_0004_,2.585
_0010_,2.585
_0091_,2.585
_0099_,2.585
_0006_,2.545
_0012_,2.545
_0037_,2.545
_0084_,2.545
_0196_,2.52
_0475_,2.52
_0566_,2.52
_0686_,2.5
_0052_,2.485
_0333_,2.48
_0035_,2.325
_0054_,2.325
_0067_,2.325
_0081_,2.325
_0087_,2.325
_0283_,2.3
_0303_,2.3
_0306_,2.3
_0309_,2.3
_0318_,2.3
_0358_,2.3
_0428_,2.3
_0431_,2.3
_0836_,2.3
_0886_,2.3
_0873_,2.28
_0020_,2.255
_0036_,2.255
_0098_,2.255
_0525_,2.18
_0872_,2.18
net6,2.18
_0634_,2.16
_0068_,2.125
_0094_,2.125
_0034_,2.085
_0066_,2.085
_0051_,2.08
_0005_,2.06
_0028_,2.06
_0030_,2.06
_0263_,2.06
_0426_,2.06
_0615_,2.06
net8,2.04
_0718_,1.95
_0086_,1.92
_0069_,1.895
_0015_,1.865
_0027_,1.865
_0047_,1.865
_0059_,1.865
_0061_,1.865
_0085_,1.865
_0101_,1.865
_0128_,1.82
_0150_,1.82
_0336_,1.81
_0819_,1.72
_0357_,1.7
_0384_,1.7
_0404_,1.7
